iteration,avg. fps,avg. polys,avg. models
1,14.251,192000000,15625
2,14.328,192000000,15625
3,14.256,192000000,15625
4,14.277,192000000,15625
5,14.508,192000000,15625
6,14.457,192000000,15625
7,14.215,192000000,15625
8,14.259,192000000,15625
9,14.354,192000000,15625
10,14.47,192000000,15625
11,14.358,192000000,15625
12,14.292,192000000,15625
13,14.71,192000000,15625
14,14.731,192000000,15625
15,14.37,192000000,15625
16,14.672,192000000,15625
17,14.557,192000000,15625
18,14.214,192000000,15625
19,14.377,192000000,15625
20,14.44,192000000,15625
21,14.239,192000000,15625
22,14.396,192000000,15625
23,14.41,192000000,15625
24,14.161,192000000,15625
25,14.284,192000000,15625
26,14.496,192000000,15625
27,14.199,192000000,15625
28,14.089,192000000,15625
29,14.286,192000000,15625
30,14.34,192000000,15625
31,14.324,192000000,15625
32,14.361,192000000,15625
33,14.354,192000000,15625
34,14.22,192000000,15625
35,14.183,192000000,15625
36,14.158,192000000,15625
37,14.155,192000000,15625
38,14.203,192000000,15625
