1 ,5.619490 ,15299242 ,2490
2 ,5.797695 ,18325061 ,2982
3 ,5.697571 ,25204053 ,4102
4 ,5.533238 ,24381674 ,3968
5 ,5.351816 ,20070098 ,3266
6 ,5.707195 ,26527301 ,4317
7 ,5.798521 ,17937491 ,2919
8 ,5.784345 ,26824039 ,4365
9 ,5.184024 ,24665739 ,4014
10 ,5.806540 ,15251400 ,2482
11 ,5.774885 ,21384939 ,3480
12 ,5.566568 ,16473429 ,2681
13 ,5.684378 ,24265728 ,3949
14 ,5.650232 ,25111893 ,4087
15 ,5.821535 ,25117004 ,4088
16 ,5.926075 ,22203284 ,3613
17 ,5.811084 ,26584755 ,4326
18 ,5.461771 ,23148604 ,3767
19 ,5.706950 ,18756967 ,3052
20 ,5.786603 ,27516817 ,4478
21 ,10.905093 ,52413379 ,8530
22 ,5.137183 ,13984488 ,2276
23 ,5.755159 ,24535648 ,3993
24 ,5.734619 ,23324616 ,3796
25 ,5.768144 ,21309716 ,3468
26 ,5.834581 ,26599700 ,4329
27 ,5.810431 ,27548201 ,4483
28 ,5.898695 ,22535545 ,3667
29 ,5.900193 ,26416936 ,4299
30 ,5.795274 ,22022752 ,3584
31 ,5.925269 ,21409515 ,3484
32 ,5.814989 ,27552851 ,4484
33 ,5.026456 ,21958848 ,3574
34 ,5.785970 ,26398111 ,4296
35 ,5.797617 ,26331191 ,4285
36 ,5.791405 ,25401620 ,4134
37 ,5.603564 ,22005701 ,3581
38 ,5.792728 ,16116874 ,2623
