iteration,avg. fps,avg. polys,avg. models
1,18.912584,136500351,11108
2,20.545095,131593187,10709
3,17.846018,143822511,11704
4,17.109131,150502706,12247
5,16.705126,153831702,12518
6,18.606987,141843275,11543
7,21.986683,131815629,10727
8,17.451694,147421772,11997
9,18.681473,139245708,11331
10,17.857742,144384092,11750
11,17.132227,150039480,12210
12,17.242531,148766862,12106
13,17.394165,147288611,11986
14,16.877068,149597208,12174
15,17.35849,145806052,11865
16,16.547277,152768643,12432
17,18.096523,142654702,11609
18,20.438049,129500766,10538
19,20.913002,125840521,10240
20,20.488899,129815625,10564
21,20.282726,130794700,10644
22,17.041252,148004315,12044
23,18.154205,140992693,11474
24,19.594725,132953984,10819
25,18.272423,140527524,11436
26,18.197243,141805056,11540
27,17.770592,142579426,11603
28,17.515617,144233542,11737
29,19.878515,130476658,10618
30,18.708864,138063827,11235
31,18.457479,140292723,11417
32,16.314938,154935614,12608
33,18.899187,133457579,10860
34,21.004454,124361741,10120
35,19.272041,135066998,10991
36,19.866169,132381239,10773
37,17.526527,144209951,11735
38,19.116875,132925505,10817
