"","iteration","avg..fps","avg..polys","avg..models","Env","BFC","FVC","ZC","activeAlgorithms"
"100",24,15.856803,192000000,15625,"DYNAMIC",0,0,0,0
"101",25,15.803639,192000000,15625,"DYNAMIC",0,0,0,0
"102",26,16.059816,192000000,15625,"DYNAMIC",0,0,0,0
"103",27,15.821329,192000000,15625,"DYNAMIC",0,0,0,0
"104",28,15.893315,192000000,15625,"DYNAMIC",0,0,0,0
"105",29,15.813492,192000000,15625,"DYNAMIC",0,0,0,0
"106",30,15.841784,192000000,15625,"DYNAMIC",0,0,0,0
"107",31,15.885631,192000000,15625,"DYNAMIC",0,0,0,0
"108",32,15.803741,192000000,15625,"DYNAMIC",0,0,0,0
"109",33,15.83905,192000000,15625,"DYNAMIC",0,0,0,0
"110",34,15.83416,192000000,15625,"DYNAMIC",0,0,0,0
"111",35,16.323046,192000000,15625,"DYNAMIC",0,0,0,0
"112",36,15.839156,192000000,15625,"DYNAMIC",0,0,0,0
"113",37,15.892003,192000000,15625,"DYNAMIC",0,0,0,0
"114",38,15.890288,192000000,15625,"DYNAMIC",0,0,0,0
"115",1,18.912584,136500351,11108,"DENSE",0,1,0,1
"116",2,20.545095,131593187,10709,"DENSE",0,1,0,1
"117",3,17.846018,143822511,11704,"DENSE",0,1,0,1
"118",4,17.109131,150502706,12247,"DENSE",0,1,0,1
"119",5,16.705126,153831702,12518,"DENSE",0,1,0,1
"120",6,18.606987,141843275,11543,"DENSE",0,1,0,1
"121",7,21.986683,131815629,10727,"DENSE",0,1,0,1
"122",8,17.451694,147421772,11997,"DENSE",0,1,0,1
"123",9,18.681473,139245708,11331,"DENSE",0,1,0,1
"124",10,17.857742,144384092,11750,"DENSE",0,1,0,1
"125",11,17.132227,150039480,12210,"DENSE",0,1,0,1
"126",12,17.242531,148766862,12106,"DENSE",0,1,0,1
"127",13,17.394165,147288611,11986,"DENSE",0,1,0,1
"128",14,16.877068,149597208,12174,"DENSE",0,1,0,1
"129",15,17.35849,145806052,11865,"DENSE",0,1,0,1
"130",16,16.547277,152768643,12432,"DENSE",0,1,0,1
"131",17,18.096523,142654702,11609,"DENSE",0,1,0,1
"132",18,20.438049,129500766,10538,"DENSE",0,1,0,1
"133",19,20.913002,125840521,10240,"DENSE",0,1,0,1
"134",20,20.488899,129815625,10564,"DENSE",0,1,0,1
"135",21,20.282726,130794700,10644,"DENSE",0,1,0,1
"136",22,17.041252,148004315,12044,"DENSE",0,1,0,1
"137",23,18.154205,140992693,11474,"DENSE",0,1,0,1
"138",24,19.594725,132953984,10819,"DENSE",0,1,0,1
"139",25,18.272423,140527524,11436,"DENSE",0,1,0,1
"140",26,18.197243,141805056,11540,"DENSE",0,1,0,1
"141",27,17.770592,142579426,11603,"DENSE",0,1,0,1
"142",28,17.515617,144233542,11737,"DENSE",0,1,0,1
"143",29,19.878515,130476658,10618,"DENSE",0,1,0,1
"144",30,18.708864,138063827,11235,"DENSE",0,1,0,1
"145",31,18.457479,140292723,11417,"DENSE",0,1,0,1
"146",32,16.314938,154935614,12608,"DENSE",0,1,0,1
"147",33,18.899187,133457579,10860,"DENSE",0,1,0,1
"148",34,21.004454,124361741,10120,"DENSE",0,1,0,1
"149",35,19.272041,135066998,10991,"DENSE",0,1,0,1
"150",36,19.866169,132381239,10773,"DENSE",0,1,0,1
"151",37,17.526527,144209951,11735,"DENSE",0,1,0,1
"152",38,19.116875,132925505,10817,"DENSE",0,1,0,1
"153",1,55.192699,49833763,4055,"SPARSE",0,1,0,1
"154",2,48.910381,74422219,6056,"SPARSE",0,1,0,1
"155",3,40.713203,103695322,8438,"SPARSE",0,1,0,1
"156",4,38.374828,98763984,8037,"SPARSE",0,1,0,1
"157",5,43.417534,103049391,8386,"SPARSE",0,1,0,1
"158",6,49.572823,83730167,6813,"SPARSE",0,1,0,1
"159",7,49.815327,84671995,6890,"SPARSE",0,1,0,1
"160",8,50.840973,74272834,6044,"SPARSE",0,1,0,1
"161",9,52.025597,68735729,5593,"SPARSE",0,1,0,1
"162",10,51.549427,59363811,4831,"SPARSE",0,1,0,1
"163",11,49.253696,71693240,5834,"SPARSE",0,1,0,1
"164",12,46.505997,101554512,8264,"SPARSE",0,1,0,1
"165",13,50.959873,80656417,6563,"SPARSE",0,1,0,1
"166",14,50.071507,86049314,7002,"SPARSE",0,1,0,1
"167",15,51.28323,80666310,6564,"SPARSE",0,1,0,1
"168",17,50.221035,87673208,7134,"SPARSE",0,1,0,1
"169",16,51.737278,80205430,6527,"SPARSE",0,1,0,1
"170",18,49.871223,85331272,6944,"SPARSE",0,1,0,1
"171",19,49.112915,84861495,6906,"SPARSE",0,1,0,1
"172",20,48.938396,97111617,7902,"SPARSE",0,1,0,1
"173",21,47.998043,99952033,8134,"SPARSE",0,1,0,1
"174",22,49.081734,81267637,6613,"SPARSE",0,1,0,1
"175",23,49.25761,93199884,7584,"SPARSE",0,1,0,1
"176",24,50.107426,84920191,6910,"SPARSE",0,1,0,1
"177",25,51.318317,84659682,6889,"SPARSE",0,1,0,1
"178",26,51.820602,82639184,6725,"SPARSE",0,1,0,1
"179",27,51.631332,85214208,6934,"SPARSE",0,1,0,1
"180",28,50.372116,90928462,7399,"SPARSE",0,1,0,1
"181",29,48.448006,94004718,7650,"SPARSE",0,1,0,1
"182",30,48.082623,96291197,7836,"SPARSE",0,1,0,1
"183",31,46.374817,93897551,7641,"SPARSE",0,1,0,1
"184",32,48.923225,94587231,7697,"SPARSE",0,1,0,1
"185",33,45.746853,108854368,8858,"SPARSE",0,1,0,1
"186",34,47.206051,98991490,8055,"SPARSE",0,1,0,1
"187",35,44.767998,109464677,8908,"SPARSE",0,1,0,1
"188",36,46.242348,109348988,8898,"SPARSE",0,1,0,1
"189",37,45.992573,104155364,8476,"SPARSE",0,1,0,1
"190",38,47.641006,97622583,7944,"SPARSE",0,1,0,1
"191",1,5.344291,51029816,4152,"DYNAMIC",0,1,0,1
"192",2,5.452847,55319844,4501,"DYNAMIC",0,1,0,1
"193",3,5.565111,55975412,4555,"DYNAMIC",0,1,0,1
"194",4,5.000225,57467784,4676,"DYNAMIC",0,1,0,1
"195",5,5.594089,58201900,4736,"DYNAMIC",0,1,0,1
"196",6,5.482896,54381298,4425,"DYNAMIC",0,1,0,1
"197",7,4.736712,55664138,4529,"DYNAMIC",0,1,0,1
"198",8,5.45288,49264101,4009,"DYNAMIC",0,1,0,1
"199",9,5.398574,52823303,4298,"DYNAMIC",0,1,0,1
"200",10,5.375236,53754940,4374,"DYNAMIC",0,1,0,1
"201",11,5.395968,52270622,4253,"DYNAMIC",0,1,0,1
"202",12,4.850251,51822459,4217,"DYNAMIC",0,1,0,1
"203",13,5.517805,53245659,4333,"DYNAMIC",0,1,0,1
