iteration,avg. fps,avg. polys,avg. models
1,60.453331,10930954,889
2,57.538418,8605053,700
3,60.932396,7039193,572
4,63.87608,8030531,653
5,63.510895,8370512,681
6,66.603233,8242088,670
7,66.524178,7624390,620
8,67.38163,7347147,597
9,65.502785,7475021,608
10,66.043533,7664239,623
11,66.059021,7711352,627
12,66.197235,8051983,655
13,64.668762,8021129,652
14,67.052551,8341112,678
15,66.77449,7746642,630
16,66.641891,8166513,664
17,60.590317,7470848,607
18,67.061546,7421861,603
19,66.375465,8680440,706
20,66.595772,8178516,665
21,66.274712,8278046,673
22,66.566505,8156541,663
23,66.698891,8616345,701
24,66.38517,8448409,687
25,66.737839,8212662,668
26,66.955002,8538262,694
27,66.321121,8464624,688
28,67.053566,9529967,775
29,61.196686,9203712,749
30,67.237709,8364181,680
31,66.045448,8083620,657
32,64.16217,8127465,661
33,66.890175,8161852,664
34,64.590691,7995422,650
35,67.125053,7512542,611
36,59.559738,6868229,558
37,65.388916,8462275,688
38,64.990784,8009354,651
