iteration,avg. fps,avg. polys,avg. models
1,17.69389,146475945,11920
2,19.966776,137488276,11188
3,17.304064,149084391,12132
4,17.644928,142724209,11614
5,18.947081,136547058,11112
6,18.612371,138564644,11276
7,18.834879,137631472,11200
8,19.367653,132801935,10807
9,21.333628,126897876,10326
10,20.81518,127267707,10357
11,20.524458,125779373,10235
12,20.348845,127301141,10359
13,19.760107,131000077,10660
14,20.070484,129998848,10579
15,21.186979,133136210,10834
16,21.882318,120353184,9794
17,19.618744,131908243,10734
18,20.325277,127878093,10406
19,19.597284,133195880,10839
20,17.086048,148130304,12054
21,16.532484,153768990,12513
22,16.475536,153683339,12506
23,15.602771,160998272,13102
24,16.745684,152885850,12441
25,17.779009,141999672,11555
26,17.131355,148083515,12051
27,18.208979,139413504,11345
28,17.205206,150319222,12233
29,19.463562,134828067,10972
30,17.112093,148264054,12065
31,17.326456,149190346,12141
32,17.005754,149499943,12166
33,19.178049,138545334,11274
34,18.026718,141610263,11524
35,17.759199,142977024,11635
36,17.438351,148714128,12102
37,18.867508,138758814,11292
38,16.790005,151933289,12364
