1,16.754536,78833008,6415
2,16.780651,62419688,5079
3,16.741322,72542038,5903
4,16.795055,81530686,6634
5,16.748234,60924582,4958
6,16.813999,76987996,6265
7,16.839186,81368862,6621
8,16.771561,81421744,6626
9,16.838598,81774230,6654
10,16.8428,72593730,5907
11,16.773054,82932196,6749
12,16.772346,83100454,6762
13,16.800135,71197058,5794
14,16.86212,85816886,6983
15,16.814289,67067420,5457
16,16.866428,81098342,6599
17,16.829708,60735054,4942
18,16.8701,82466936,6711
19,16.809616,80788858,6574
20,16.883102,83098104,6762
21,16.891703,58096362,4727
22,16.887783,70565308,5742
23,16.911978,54758314,4456
24,16.870754,79659344,6482
25,16.817028,67656082,5505
26,16.900188,68603228,5582
27,16.821949,69113130,5624
28,16.877716,84981832,6915
29,16.85074,62099648,5053
30,16.932819,82798800,6738
31,16.87982,72034858,5862
32,16.911634,70898096,5769
33,16.91568,82876776,6744
34,16.945444,66262464,5392
35,16.927498,82855574,6742
36,16.912279,68037360,5536
37,16.895479,84983904,6916
38,16.925644,77126544,6276
